lncRNA,protein
1700113A16Rik,TTP
1700123M08Rik,AGO1
1700123M08Rik,AGO2
1700123M08Rik,AGO4
1700123M08Rik,Fus
1700123M08Rik,KPYM
1700123M08Rik,PABP1
1700123M08Rik,QKI
1700123M08Rik,RFOX2
1700123M08Rik,SFPQ
1700123M08Rik,Tdp43
1700123M08Rik,TTP
1700123M08Rik,Upf1
1700123O12Rik,AGO1
1700123O12Rik,AGO2
1700123O12Rik,AGO4
1700123O12Rik,Elavl1
1700123O12Rik,FMR1
1700123O12Rik,Fus
1700123O12Rik,KPYM
1700123O12Rik,PABP1
1700123O12Rik,Pou5f1
1700123O12Rik,Ptbp2
1700123O12Rik,QKI
1700123O12Rik,Rbfox3
1700123O12Rik,RBM10
1700123O12Rik,RFOX2
1700123O12Rik,SFPQ
1700123O12Rik,Srsf3
1700123O12Rik,Tdp43
1700123O12Rik,TYY1
1700123O12Rik,Upf1
1700123O12Rik,VIGLN
1700128E19Rik,AGO1
1700128E19Rik,AGO2
1700128E19Rik,AGO4
1810008B01Rik,AGO1
1810008B01Rik,AGO2
1810008B01Rik,AGO4
1810008B01Rik,Fus
1810008B01Rik,Nova1
1810008B01Rik,SFPQ
1810008B01Rik,Tdp43
1810008B01Rik,TIA1
1810014B01Rik,AGO1
1810014B01Rik,AGO2
1810014B01Rik,AGO4
1810014B01Rik,DAZL
1810014B01Rik,Elavl1
1810014B01Rik,KPYM
1810014B01Rik,MSI2H
1810014B01Rik,PABP1
1810014B01Rik,PSPC1
1810014B01Rik,Ptbp2
1810014B01Rik,RBM10
1810014B01Rik,RFOX2
1810014B01Rik,SFPQ
1810014B01Rik,TIA1
1810014B01Rik,TTP
1810034E14Rik,AGO1
1810034E14Rik,AGO2
1810034E14Rik,AGO4
1810034E14Rik,Pou5f1
1810034E14Rik,RFOX2
1810034E14Rik,SFPQ
1810034E14Rik,TAF15
1810034E14Rik,TTP
1810034E14Rik,TYY1
2010012P19Rik,AGO1
2010012P19Rik,AGO2
2010012P19Rik,AGO4
2010012P19Rik,Celf1
2010012P19Rik,Ezh2
2010012P19Rik,Fus
2010012P19Rik,KPYM
2010012P19Rik,Pou5f1
2010012P19Rik,RFOX2
2010012P19Rik,SFPQ
2010012P19Rik,Tdp43
2010012P19Rik,TTP
2010012P19Rik,TYY1
2010012P19Rik,Upf1
2010013B24Rik,AGO1
2010013B24Rik,AGO2
2010013B24Rik,AGO4
2010013B24Rik,PABP1
2010013B24Rik,RFOX2
2010013B24Rik,Tdp43
2210013O21Rik,AGO1
2210013O21Rik,AGO2
2210013O21Rik,AGO4
2210013O21Rik,FMRP
2210013O21Rik,Fus
2210013O21Rik,JARID2
2210013O21Rik,Mbnl1
2210013O21Rik,PABP1
2210013O21Rik,PABPC1
2210013O21Rik,Pou5f1
2210013O21Rik,RBM10
2210013O21Rik,RFOX2
2210013O21Rik,SFPQ
2210013O21Rik,TAF15
2210013O21Rik,Tdp43
2210013O21Rik,TIA1
2210013O21Rik,TTP
2210013O21Rik,TYY1
2210013O21Rik,Upf1
2210013O21Rik,VIGLN
2210408F21Rik,AGO1
2210408F21Rik,AGO2
2210408F21Rik,AGO4
2210408F21Rik,DAZL
2210408F21Rik,Elavl1
2210408F21Rik,FMR1
2210408F21Rik,FMRP
2210408F21Rik,Fus
2210408F21Rik,KPYM
2210408F21Rik,Nova1
2210408F21Rik,PABP1
2210408F21Rik,Pou5f1
2210408F21Rik,RFOX2
2210408F21Rik,SFPQ
2210408F21Rik,TAF15
2210408F21Rik,Tdp43
2210408F21Rik,TTP
2210408F21Rik,TYY1
2210408F21Rik,Upf1
2210411M09Rik,AGO1
2210411M09Rik,AGO2
2210411M09Rik,AGO4
2210411M09Rik,Celf1
2210411M09Rik,FMR1
2210411M09Rik,Fus
2210411M09Rik,RBM10
2210411M09Rik,RFOX2
2210411M09Rik,Tdp43
2210411M09Rik,TIA1
2310001H17Rik,AGO1
2310001H17Rik,AGO2
2310001H17Rik,AGO4
2310001H17Rik,KPYM
2310001H17Rik,PABP1
2310001H17Rik,Pou5f1
2310001H17Rik,RFOX2
2310001H17Rik,TTP
2310001H17Rik,TYY1
2310001H17Rik,VIGLN
2410004N09Rik,AGO1
2410004N09Rik,AGO2
2410004N09Rik,AGO4
2410004N09Rik,CBX1
2410004N09Rik,Cpsf6
2410004N09Rik,ESET
2410004N09Rik,Ezh2
2410004N09Rik,Fus
2410004N09Rik,JARID1C
2410004N09Rik,JARID2
2410004N09Rik,KPYM
2410004N09Rik,MSI2H
2410004N09Rik,Nova1
2410004N09Rik,PABP1
2410004N09Rik,PABPC1
2410004N09Rik,Pou5f1
2410004N09Rik,PRC2
2410004N09Rik,Rbfox3
2410004N09Rik,RBM10
2410004N09Rik,RFOX2
2410004N09Rik,SFPQ
2410004N09Rik,SUV39H1
2410004N09Rik,SUZ12
2410004N09Rik,Tdp43
2410004N09Rik,TIA1
2410004N09Rik,TTP
2410004N09Rik,TYY1
2410004N09Rik,Upf1
2410006H16Rik,AGO1
2410006H16Rik,AGO2
2410006H16Rik,AGO4
2410006H16Rik,Coilin
2410006H16Rik,Cpsf6
2410006H16Rik,DAZL
2410006H16Rik,Ezh2
2410006H16Rik,FMR1
2410006H16Rik,FMRP
2410006H16Rik,Fus
2410006H16Rik,JARID2
2410006H16Rik,KPYM
2410006H16Rik,Mbnl1
2410006H16Rik,MSI2H
2410006H16Rik,Nova1
2410006H16Rik,PABP1
2410006H16Rik,PABPC1
2410006H16Rik,Pou5f1
2410006H16Rik,PSPC1
2410006H16Rik,QKI
2410006H16Rik,RBM10
2410006H16Rik,RFOX2
2410006H16Rik,SFPQ
2410006H16Rik,Srsf3
2410006H16Rik,SUZ12
2410006H16Rik,TAF15
2410006H16Rik,Tdp43
2410006H16Rik,TIA1
2410006H16Rik,TTP
2410006H16Rik,TYY1
2410006H16Rik,Upf1
2500004C02Rik,AGO1
2500004C02Rik,AGO2
2500004C02Rik,AGO4
2500004C02Rik,Fus
2500004C02Rik,PABP1
2500004C02Rik,PSPC1
2500004C02Rik,RFOX2
2500004C02Rik,SFPQ
2500004C02Rik,Tdp43
2500004C02Rik,TIA1
2610005L07Rik,AGO1
2610005L07Rik,AGO2
2610005L07Rik,AGO4
2610005L07Rik,DAZL
2610005L07Rik,Elavl1
2610005L07Rik,FMR1
2610005L07Rik,KPYM
2610005L07Rik,PABP1
2610005L07Rik,Pou5f1
2610005L07Rik,PSPC1
2610005L07Rik,Ptbp2
2610005L07Rik,QKI
2610005L07Rik,RBM10
2610005L07Rik,RFOX2
2610005L07Rik,SFPQ
2610005L07Rik,TAF15
2610005L07Rik,TIA1
2610005L07Rik,TTP
2610005L07Rik,TYY1
2610005L07Rik,VIGLN
2610020C07Rik,AGO1
2610020C07Rik,AGO2
2610020C07Rik,AGO4
2610020C07Rik,DAZL
2610020C07Rik,Elavl1
2610020C07Rik,KPYM
2610020C07Rik,PABP1
2610020C07Rik,PSPC1
2610020C07Rik,Ptbp2
2610020C07Rik,RBM10
2610020C07Rik,RFOX2
2610020C07Rik,SFPQ
2610020C07Rik,TIA1
2610020C07Rik,TTP
2610027K06Rik,AGO1
2610027K06Rik,AGO2
2610027K06Rik,AGO4
2610027K06Rik,Celf1
2610027K06Rik,Fus
2610027K06Rik,PABP1
2610027K06Rik,Pou5f1
2610027K06Rik,QKI
2610027K06Rik,RFOX2
2610027K06Rik,SFPQ
2610027K06Rik,Tdp43
2610027K06Rik,TYY1
2610035D17Rik,AGO1
2610035D17Rik,AGO2
2610035D17Rik,AGO4
2610035D17Rik,DAZL
2610035D17Rik,Elavl1
2610035D17Rik,Ezh2
2610035D17Rik,FMR1
2610035D17Rik,FMRP
2610035D17Rik,Fus
2610035D17Rik,Mbnl3
2610035D17Rik,PABP1
2610035D17Rik,Pou5f1
2610035D17Rik,QKI
2610035D17Rik,RFOX2
2610035D17Rik,SFPQ
2610035D17Rik,TAF15
2610035D17Rik,Tdp43
2610035D17Rik,TTP
2610035D17Rik,TYY1
2610035D17Rik,Upf1
2610035D17Rik,VIGLN
2610037D02Rik,AGO1
2610037D02Rik,AGO2
2610037D02Rik,AGO4
2610037D02Rik,DAZL
2610037D02Rik,Elavl1
2610037D02Rik,KPYM
2610037D02Rik,Pou5f1
2610037D02Rik,PSPC1
2610037D02Rik,QKI
2610037D02Rik,RFOX2
2610037D02Rik,SFPQ
2610037D02Rik,TAF15
2610037D02Rik,TTP
2610037D02Rik,TYY1
2610037D02Rik,VIGLN
2610204G07Rik,AGO1
2610204G07Rik,AGO2
2610204G07Rik,AGO4
2610204G07Rik,Fus
2610204G07Rik,RFOX2
2610204G07Rik,SFPQ
2610204G07Rik,Tdp43
2700038G22Rik,AGO1
2700038G22Rik,AGO2
2700038G22Rik,AGO4
2700038G22Rik,KPYM
2700038G22Rik,MSI2H
2700038G22Rik,PABP1
2700038G22Rik,Pou5f1
2700038G22Rik,PSPC1
2700038G22Rik,RBM10
2700038G22Rik,RFOX2
2700038G22Rik,SFPQ
2700038G22Rik,SUZ12
2700038G22Rik,TIA1
2700038G22Rik,TYY1
2810425M01Rik,AGO1
2810425M01Rik,AGO2
2810425M01Rik,AGO4
2810425M01Rik,Elavl1
2810425M01Rik,KPYM
2810425M01Rik,PABP1
2810425M01Rik,Pou5f1
2810425M01Rik,Ptbp2
2810425M01Rik,RFOX2
2810425M01Rik,SFPQ
2810425M01Rik,TTP
2900005J15Rik,AGO1
2900005J15Rik,AGO2
2900005J15Rik,AGO4
2900005J15Rik,FMRP
2900005J15Rik,Fus
2900005J15Rik,PABP1
2900005J15Rik,RFOX2
2900005J15Rik,Tdp43
2900005J15Rik,VIGLN
2900053A13Rik,AGO1
2900053A13Rik,AGO2
2900053A13Rik,AGO4
2900053A13Rik,PABP1
2900053A13Rik,VIGLN
2900056M20Rik,AGO1
2900056M20Rik,AGO2
2900056M20Rik,AGO4
2900056M20Rik,DAZL
2900056M20Rik,Elavl1
2900056M20Rik,Ezh2
2900056M20Rik,FMR1
2900056M20Rik,FMRP
2900056M20Rik,Fus
2900056M20Rik,JARID2
2900056M20Rik,KPYM
2900056M20Rik,Nova1
2900056M20Rik,Nova-2
2900056M20Rik,RBM10
2900056M20Rik,RFOX2
2900056M20Rik,SFPQ
2900056M20Rik,Tdp43
2900056M20Rik,TIA1
2900056M20Rik,TYY1
2900056M20Rik,Upf1
2900076A07Rik,AGO1
2900076A07Rik,AGO2
2900076A07Rik,AGO4
2900076A07Rik,ESET
2900076A07Rik,Fus
2900076A07Rik,JARID1B
2900076A07Rik,MSI2H
2900076A07Rik,PABP1
2900076A07Rik,PRC2
2900076A07Rik,Rbfox3
2900076A07Rik,RBM10
2900076A07Rik,RFOX2
2900076A07Rik,RING1B
2900076A07Rik,SFPQ
2900076A07Rik,TAF15
2900076A07Rik,Tdp43
2900076A07Rik,TIA1
2900076A07Rik,TTP
2900076A07Rik,Upf1
2900089D17Rik,AGO1
2900089D17Rik,AGO2
2900089D17Rik,AGO4
2900089D17Rik,Celf1
2900089D17Rik,Elavl1
2900089D17Rik,FMRP
2900089D17Rik,Fus
2900089D17Rik,KPYM
2900089D17Rik,PABP1
2900089D17Rik,Pou5f1
2900089D17Rik,RFOX2
2900089D17Rik,SFPQ
2900089D17Rik,Tdp43
2900089D17Rik,TIA1
2900089D17Rik,TTP
2900089D17Rik,Upf1
3110053B16Rik,AGO1
3110053B16Rik,AGO2
3110053B16Rik,AGO4
3110053B16Rik,Elavl1
3110053B16Rik,KPYM
3110053B16Rik,PSPC1
3110053B16Rik,RFOX2
3110053B16Rik,SFPQ
3110053B16Rik,VIGLN
3110056K07Rik,AGO1
3110056K07Rik,AGO2
3110056K07Rik,AGO4
3110056K07Rik,DAZL
3110056K07Rik,Elavl1
3110056K07Rik,ESET
3110056K07Rik,Ezh2
3110056K07Rik,Fus
3110056K07Rik,JARID1B
3110056K07Rik,JARID2
3110056K07Rik,KPYM
3110056K07Rik,PABP1
3110056K07Rik,PABPC1
3110056K07Rik,PRC2
3110056K07Rik,Ptbp2
3110056K07Rik,QKI
3110056K07Rik,RFOX2
3110056K07Rik,RING1B
3110056K07Rik,SFPQ
3110056K07Rik,TAF15
3110056K07Rik,Tdp43
3110056K07Rik,TIA1
3110056K07Rik,Upf1
3110056K07Rik,VIGLN
4631405J19Rik,AGO1
4631405J19Rik,AGO2
4631405J19Rik,AGO4
4631405J19Rik,Fus
4631405J19Rik,QKI
4631405J19Rik,RFOX2
4631405J19Rik,Tdp43
4632419I22Rik,AGO1
4632419I22Rik,AGO2
4632419I22Rik,AGO4
4632419I22Rik,Celf1
4632419I22Rik,DAZL
4632419I22Rik,Elavl1
4632419I22Rik,FMR1
4632419I22Rik,FMRP
4632419I22Rik,Fus
4632419I22Rik,JARID2
4632419I22Rik,PABP1
4632419I22Rik,PABPC1
4632419I22Rik,Pou5f1
4632419I22Rik,PSPC1
4632419I22Rik,Ptbp2
4632419I22Rik,QKI
4632419I22Rik,RBM10
4632419I22Rik,RFOX2
4632419I22Rik,SFPQ
4632419I22Rik,Tdp43
4632419I22Rik,TIA1
4632419I22Rik,TTP
4632419I22Rik,TYY1
4632419I22Rik,Upf1
4632419I22Rik,VIGLN
4632427E13Rik,AGO1
4632427E13Rik,AGO2
4632427E13Rik,AGO4
4632427E13Rik,Cpsf6
4632427E13Rik,Elavl1
4632427E13Rik,FMRP
4632427E13Rik,Fus
4632427E13Rik,RBM10
4632427E13Rik,RFOX2
4632427E13Rik,SFPQ
4632427E13Rik,Tdp43
4632427E13Rik,TIA1
4632427E13Rik,TTP
4632427E13Rik,Upf1
4731419I09Rik,AGO1
4731419I09Rik,AGO2
4731419I09Rik,AGO4
4731419I09Rik,PABP1
4731419I09Rik,RBM10
4731419I09Rik,RFOX2
4731419I09Rik,SFPQ
4731419I09Rik,TIA1
4732440D04Rik,AGO1
4732440D04Rik,AGO2
4732440D04Rik,AGO4
4732440D04Rik,Fus
4732440D04Rik,PABP1
4732440D04Rik,PABPC1
4732440D04Rik,Tdp43
4921507L20Rik,AGO1
4921507L20Rik,AGO2
4921507L20Rik,AGO4
4921507L20Rik,Fus
4921507L20Rik,Nova-2
4921507L20Rik,RANBP9
4921507L20Rik,RFOX2
4921507L20Rik,Tdp43
4921514A10Rik,AGO1
4921514A10Rik,AGO2
4921514A10Rik,AGO4
4921514A10Rik,PABP1
4921514A10Rik,PSPC1
4921514A10Rik,SFPQ
4921514A10Rik,TIA1
4921514A10Rik,VIGLN
4930403D09Rik,AGO1
4930403D09Rik,AGO2
4930403D09Rik,AGO4
4930403D09Rik,PABP1
4930403D09Rik,Pou5f1
4930403D09Rik,RFOX2
4930403D09Rik,TYY1
4930405D11Rik,AGO1
4930405D11Rik,AGO2
4930405D11Rik,AGO4
4930405D11Rik,FMRP
4930405D11Rik,Fus
4930405D11Rik,PABP1
4930405D11Rik,Pou5f1
4930405D11Rik,PSPC1
4930405D11Rik,Ptbp2
4930405D11Rik,RFOX2
4930405D11Rik,SFPQ
4930405D11Rik,Tdp43
4930405D11Rik,TYY1
4930405D11Rik,Upf1
4930405D11Rik,VIGLN
4930405O22Rik,AGO1
4930405O22Rik,AGO2
4930405O22Rik,AGO4
4930405O22Rik,Fus
4930405O22Rik,JARID2
4930405O22Rik,RFOX2
4930405O22Rik,SFPQ
4930405O22Rik,TAF15
4930405O22Rik,Tdp43
4930405O22Rik,TIA1
4930405O22Rik,TYY1
4930412M03Rik,AGO1
4930412M03Rik,AGO2
4930412M03Rik,AGO4
4930412M03Rik,Fus
4930412M03Rik,PABP1
4930412M03Rik,Pou5f1
4930412M03Rik,RFOX2
4930412M03Rik,SFPQ
4930412M03Rik,Tdp43
4930412M03Rik,TIA1
4930439A04Rik,AGO1
4930439A04Rik,AGO2
4930439A04Rik,AGO4
4930439A04Rik,Fus
4930439A04Rik,SFPQ
4930439A04Rik,Tdp43
4930440I19Rik,AGO1
4930440I19Rik,AGO2
4930440I19Rik,AGO4
4930440I19Rik,FMR1
4930440I19Rik,FMRP
4930440I19Rik,PABP1
4930440I19Rik,Pou5f1
4930440I19Rik,Ptbp2
4930440I19Rik,Rbfox3
4930440I19Rik,RFOX2
4930440I19Rik,SFPQ
4930440I19Rik,Tdp43
4930440I19Rik,Upf1
4930440I19Rik,VIGLN
4930469K13Rik,AGO1
4930469K13Rik,AGO2
4930469K13Rik,AGO4
4930469K13Rik,DAZL
4930469K13Rik,Elavl1
4930469K13Rik,FMRP
4930469K13Rik,Fus
4930469K13Rik,PABP1
4930469K13Rik,PABPC1
4930469K13Rik,Pou5f1
4930469K13Rik,Ptbp2
4930469K13Rik,QKI
4930469K13Rik,RFOX2
4930469K13Rik,Srsf3
4930469K13Rik,Tdp43
4930469K13Rik,TTP
4930469K13Rik,TYY1
4930469K13Rik,Upf1
4930470G03Rik,AGO1
4930470G03Rik,AGO2
4930470G03Rik,AGO4
4930470G03Rik,Elavl1
4930470G03Rik,Fus
4930470G03Rik,PABP1
4930470G03Rik,Pou5f1
4930470G03Rik,PSPC1
4930470G03Rik,RFOX2
4930470G03Rik,SFPQ
4930470G03Rik,Tdp43
4930470G03Rik,TIA1
4930470G03Rik,TTP
4930470G03Rik,TYY1
4930473A02Rik,AGO1
4930473A02Rik,AGO2
4930473A02Rik,AGO4
4930473A02Rik,DAZL
4930473A02Rik,Elavl1
4930473A02Rik,FMRP
4930473A02Rik,Fus
4930473A02Rik,MSI2H
4930473A02Rik,PABP1
4930473A02Rik,PABPC1
4930473A02Rik,RBM10
4930473A02Rik,RFOX2
4930473A02Rik,SFPQ
4930473A02Rik,TAF15
4930473A02Rik,Tdp43
4930473A02Rik,TIA1
4930473A02Rik,TTP
4930473A02Rik,VIGLN
4930505N22Rik,AGO1
4930505N22Rik,AGO2
4930505N22Rik,AGO4
4930505N22Rik,DAZL
4930505N22Rik,PABP1
4930505N22Rik,Pou5f1
4930505N22Rik,RFOX2
4930505N22Rik,SFPQ
4930505N22Rik,TTP
4930505N22Rik,TYY1
4930516K23Rik,AGO1
4930516K23Rik,AGO2
4930516K23Rik,AGO4
4930516K23Rik,FMR1
4930516K23Rik,Pou5f1
4930516K23Rik,Ptbp2
4930516K23Rik,QKI
4930516K23Rik,RFOX2
4930516K23Rik,SFPQ
4930516K23Rik,TTP
4930516K23Rik,TYY1
4930516K23Rik,VIGLN
4930524L23Rik,AGO1
4930524L23Rik,AGO2
4930524L23Rik,AGO4
4930524L23Rik,FMR1
4930524L23Rik,Fus
4930524L23Rik,KPYM
4930524L23Rik,PABP1
4930524L23Rik,Pou5f1
4930524L23Rik,RFOX2
4930524L23Rik,SFPQ
4930524L23Rik,Tdp43
4930524L23Rik,TYY1
4930524L23Rik,Upf1
4930533B01Rik,AGO1
4930533B01Rik,AGO2
4930533B01Rik,AGO4
4930533B01Rik,Fus
4930533B01Rik,Pou5f1
4930533B01Rik,RFOX2
4930533B01Rik,SFPQ
4930533B01Rik,Tdp43
4930533B01Rik,TTP
4930533B01Rik,TYY1
4930551L18Rik,AGO1
4930551L18Rik,AGO2
4930551L18Rik,AGO4
4930551L18Rik,Fus
4930551L18Rik,RFOX2
4930551L18Rik,TYY1
4930554H23Rik,AGO1
4930554H23Rik,AGO2
4930554H23Rik,AGO4
4930554H23Rik,Elavl1
4930554H23Rik,FMR1
4930554H23Rik,KPYM
4930554H23Rik,Pou5f1
4930554H23Rik,Ptbp2
4930554H23Rik,RFOX2
4930554H23Rik,TYY1
4930555B11Rik,AGO1
4930555B11Rik,AGO2
4930555B11Rik,AGO4
4930555B11Rik,EED
4930555B11Rik,Elavl1
4930555B11Rik,Ezh2
4930555B11Rik,FMR1
4930555B11Rik,Fus
4930555B11Rik,KPYM
4930555B11Rik,Pou5f1
4930555B11Rik,PSPC1
4930555B11Rik,RBM10
4930555B11Rik,RFOX2
4930555B11Rik,Srsf3
4930555B11Rik,SUZ12
4930555B11Rik,Tdp43
4930555B11Rik,TTP
4930555B11Rik,TYY1
4930555B11Rik,Upf1
4930555B11Rik,VIGLN
4930556N08Rik,AGO1
4930556N08Rik,AGO2
4930556N08Rik,AGO4
4930556N08Rik,Elavl1
4930556N08Rik,Fus
4930556N08Rik,PABP1
4930556N08Rik,PABPC1
4930556N08Rik,Pou5f1
4930556N08Rik,Ptbp2
4930556N08Rik,RBM10
4930556N08Rik,RFOX2
4930556N08Rik,Tdp43
4930556N08Rik,TIA1
4930556N08Rik,TTP
4930556N08Rik,TYY1
4930556N08Rik,VIGLN
4930556N13Rik,AGO1
4930556N13Rik,AGO2
4930556N13Rik,AGO4
4930556N13Rik,Celf1
4930556N13Rik,Elavl1
4930556N13Rik,FMRP
4930556N13Rik,Fus
4930556N13Rik,KPYM
4930556N13Rik,Pou5f1
4930556N13Rik,PSPC1
4930556N13Rik,RFOX2
4930556N13Rik,SFPQ
4930556N13Rik,Tdp43
4930556N13Rik,TIA1
4930556N13Rik,TTP
4930556N13Rik,TYY1
4930557C09Rik,AGO1
4930557C09Rik,AGO2
4930557C09Rik,AGO4
4930557C09Rik,Celf1
4930557C09Rik,FMR1
4930557C09Rik,Fus
4930557C09Rik,Pou5f1
4930557C09Rik,RFOX2
4930557C09Rik,SFPQ
4930557C09Rik,Tdp43
4930557C09Rik,TTP
4930557C09Rik,TYY1
4930565N06Rik,AGO1
4930565N06Rik,AGO2
4930565N06Rik,AGO4
4930565N06Rik,Fus
4930565N06Rik,PABP1
4930565N06Rik,Pou5f1
4930565N06Rik,PSPC1
4930565N06Rik,Ptbp2
4930565N06Rik,RFOX2
4930565N06Rik,SFPQ
4930565N06Rik,Tdp43
4930565N06Rik,TTP
4930565N06Rik,TYY1
4930577N17Rik,AGO1
4930577N17Rik,AGO2
4930577N17Rik,AGO4
4930577N17Rik,Fus
4930577N17Rik,PABP1
4930577N17Rik,SFPQ
4930577N17Rik,Tdp43
4930577N17Rik,TIA1
4930579G18Rik,AGO1
4930579G18Rik,AGO2
4930579G18Rik,AGO4
4930579G18Rik,Celf1
4930579G18Rik,Elavl1
4930579G18Rik,Ezh2
4930579G18Rik,FMRP
4930579G18Rik,Fus
4930579G18Rik,KPYM
4930579G18Rik,PABP1
4930579G18Rik,RBM10
4930579G18Rik,RFOX2
4930579G18Rik,SFPQ
4930579G18Rik,TAF15
4930579G18Rik,Tdp43
4930579G18Rik,TIA1
4930579G18Rik,TTP
4930581F22Rik,AGO1
4930581F22Rik,AGO2
4930581F22Rik,AGO4
4930581F22Rik,FMRP
4930581F22Rik,Fus
4930581F22Rik,PABP1
4930581F22Rik,PABPC1
4930581F22Rik,Pou5f1
4930581F22Rik,Ptbp2
4930581F22Rik,RFOX2
4930581F22Rik,SFPQ
4930581F22Rik,Tdp43
4930581F22Rik,TIA1
4930581F22Rik,TTP
4930581F22Rik,TYY1
4930593A02Rik,AGO1
4930593A02Rik,AGO2
4930593A02Rik,AGO4
4930593A02Rik,Elavl1
4930593A02Rik,FMR1
4930593A02Rik,FMRP
4930593A02Rik,Fus
4930593A02Rik,MSI2H
4930593A02Rik,Pou5f1
4930593A02Rik,Ptbp2
4930593A02Rik,RANBP9
4930593A02Rik,RFOX2
4930593A02Rik,SFPQ
4930593A02Rik,Tdp43
4930593A02Rik,TYY1
4930596M17Rik,AGO1
4930596M17Rik,AGO2
4930596M17Rik,AGO4
4930596M17Rik,Fus
4930596M17Rik,RFOX2
4930596M17Rik,Tdp43
4930599N23Rik,AGO1
4930599N23Rik,AGO2
4930599N23Rik,AGO4
4930599N23Rik,CBX7
4930599N23Rik,Celf1
4930599N23Rik,DAZL
4930599N23Rik,Elavl1
4930599N23Rik,Ezh2
4930599N23Rik,FMRP
4930599N23Rik,Fus
4930599N23Rik,PABP1
4930599N23Rik,Pou5f1
4930599N23Rik,PSPC1
4930599N23Rik,Ptbp2
4930599N23Rik,RFOX2
4930599N23Rik,SFPQ
4930599N23Rik,Tdp43
4930599N23Rik,TIA1
4930599N23Rik,TTP
4931413K12Rik,AGO1
4931413K12Rik,AGO2
4931413K12Rik,AGO4
4931413K12Rik,Elavl1
4931413K12Rik,Fus
4931413K12Rik,PABP1
4931413K12Rik,SFPQ
4931413K12Rik,TAF15
4931413K12Rik,Tdp43
4931413K12Rik,TIA1
4931413K12Rik,TTP
4932412D23Rik,AGO1
4932412D23Rik,AGO2
4932412D23Rik,AGO4
4932412D23Rik,Elavl1
4932412D23Rik,FMRP
4932412D23Rik,KPYM
4932412D23Rik,Pou5f1
4932412D23Rik,Ptbp2
4932412D23Rik,RFOX2
4932412D23Rik,Tdp43
4932412D23Rik,TTP
4932412D23Rik,TYY1
4932412D23Rik,Upf1
4932412D23Rik,VIGLN
4933404O12Rik,AGO1
4933404O12Rik,AGO2
4933404O12Rik,AGO4
4933404O12Rik,Coilin
4933404O12Rik,Cpsf6
4933404O12Rik,DAZL
4933404O12Rik,EED
4933404O12Rik,Elavl1
4933404O12Rik,Ezh2
4933404O12Rik,FMR1
4933404O12Rik,FMRP
4933404O12Rik,Fus
4933404O12Rik,JARID2
4933404O12Rik,KPYM
4933404O12Rik,PABP1
4933404O12Rik,Pou5f1
4933404O12Rik,PSPC1
4933404O12Rik,Ptbp2
4933404O12Rik,QKI
4933404O12Rik,Rbfox3
4933404O12Rik,RBM10
4933404O12Rik,RFOX2
4933404O12Rik,SFPQ
4933404O12Rik,SUZ12
4933404O12Rik,Tdp43
4933404O12Rik,TIA1
4933404O12Rik,TTP
4933404O12Rik,TYY1
4933404O12Rik,Upf1
4933404O12Rik,VIGLN
4933406G16Rik,AGO1
4933406G16Rik,AGO2
4933406G16Rik,AGO4
4933406G16Rik,KPYM
4933406G16Rik,Pou5f1
4933406G16Rik,RFOX2
4933406G16Rik,Tdp43
4933406G16Rik,VIGLN
4933406I18Rik,AGO1
4933406I18Rik,AGO2
4933406I18Rik,AGO4
4933406I18Rik,Elavl1
4933406I18Rik,FMR1
4933406I18Rik,FMRP
4933406I18Rik,Fus
4933406I18Rik,KPYM
4933406I18Rik,Pou5f1
4933406I18Rik,Ptbp2
4933406I18Rik,RFOX2
4933406I18Rik,SFPQ
4933406I18Rik,TAF15
4933406I18Rik,Tdp43
4933406I18Rik,TTP
4933406I18Rik,TYY1
4933406I18Rik,Upf1
4933406J10Rik,AGO1
4933406J10Rik,AGO2
4933406J10Rik,AGO4
4933406J10Rik,FMR1
4933406J10Rik,Fus
4933406J10Rik,KPYM
4933406J10Rik,RFOX2
4933406J10Rik,SFPQ
4933406J10Rik,Tdp43
4933413J09Rik,AGO1
4933413J09Rik,AGO2
4933413J09Rik,AGO4
4933413J09Rik,Fus
4933413J09Rik,Pou5f1
4933413J09Rik,QKI
4933413J09Rik,RFOX2
4933413J09Rik,SFPQ
4933413J09Rik,Tdp43
4933413J09Rik,TYY1
4933413J09Rik,Upf1
4933423P22Rik,AGO1
4933423P22Rik,AGO2
4933423P22Rik,AGO4
4933423P22Rik,Elavl1
4933423P22Rik,FMRP
4933423P22Rik,Fus
4933423P22Rik,Pou5f1
4933423P22Rik,Ptbp2
4933423P22Rik,RFOX2
4933423P22Rik,SFPQ
4933423P22Rik,Tdp43
4933423P22Rik,TIA1
4933423P22Rik,TTP
4933423P22Rik,Upf1
4933423P22Rik,VIGLN
4933426K07Rik,AGO1
4933426K07Rik,AGO2
4933426K07Rik,AGO4
4933426K07Rik,Fus
4933439K11Rik,AGO1
4933439K11Rik,AGO2
4933439K11Rik,AGO4
4933439K11Rik,Fus
4933439K11Rik,PABP1
4933439K11Rik,Pou5f1
5430405H02Rik,AGO1
5430405H02Rik,AGO2
5430405H02Rik,AGO4
5430405H02Rik,DAZL
5430405H02Rik,Elavl1
5430405H02Rik,Fus
5430405H02Rik,PABP1
5430405H02Rik,Pou5f1
5430405H02Rik,PSPC1
5430405H02Rik,RFOX2
5430405H02Rik,SFPQ
