label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label182,0.497,0.496,0.403,0.591,0.444,-0.007,0.487,0.51
label183,0.526,0.538,0.364,0.688,0.434,0.055,0.535,0.525
label184,0.516,0.523,0.377,0.656,0.438,0.034,0.492,0.483
label185,0.448,0.45,0.468,0.429,0.459,-0.104,0.403,0.444
label186,0.461,0.455,0.396,0.526,0.424,-0.079,0.437,0.447
label187,0.409,0.439,0.649,0.169,0.524,-0.207,0.304,0.376
label188,0.506,0.509,0.37,0.643,0.429,0.013,0.508,0.505
label189,0.555,0.561,0.506,0.604,0.532,0.111,0.551,0.525
label190,0.416,0.421,0.448,0.383,0.434,-0.169,0.364,0.414
label191,0.386,0.418,0.578,0.195,0.485,-0.246,0.382,0.433
label192,0.5,0.5,0.344,0.656,0.408,0,0.418,0.492
label193,0.5,0.5,0.591,0.409,0.542,0,0.477,0.464
label194,0.542,0.549,0.474,0.61,0.509,0.085,0.539,0.576
label195,0.461,0.457,0.416,0.506,0.435,-0.078,0.442,0.487
label196,0.474,0.471,0.429,0.519,0.449,-0.052,0.485,0.476
label197,0.468,0.452,0.305,0.63,0.364,-0.069,0.474,0.494
label198,0.445,0.456,0.578,0.312,0.51,-0.115,0.443,0.464
label199,0.506,0.506,0.584,0.429,0.542,0.013,0.48,0.472
label200,0.416,0.39,0.299,0.532,0.338,-0.174,0.4,0.46
label201,0.494,0.495,0.597,0.39,0.541,-0.013,0.491,0.505
label202,0.438,0.425,0.351,0.526,0.384,-0.125,0.419,0.43
label203,0.523,0.53,0.396,0.649,0.454,0.047,0.519,0.544
label204,0.555,0.553,0.571,0.539,0.562,0.11,0.551,0.546
label205,0.506,0.508,0.416,0.597,0.457,0.013,0.501,0.502
label206,0.477,0.477,0.468,0.487,0.472,-0.045,0.457,0.47
label207,0.315,0.339,0.39,0.24,0.363,-0.374,0.275,0.371
label208,0.529,0.531,0.494,0.565,0.512,0.059,0.498,0.479
label209,0.438,0.448,0.532,0.344,0.487,-0.126,0.434,0.465
label210,0.438,0.439,0.442,0.435,0.44,-0.123,0.407,0.443
label211,0.523,0.522,0.532,0.513,0.527,0.045,0.524,0.509
label212,0.51,0.51,0.5,0.519,0.505,0.019,0.498,0.511
label213,0.338,0.358,0.409,0.266,0.382,-0.328,0.298,0.377
label214,0.429,0.454,0.701,0.156,0.551,-0.17,0.371,0.429
label215,0.347,0.326,0.286,0.409,0.304,-0.308,0.288,0.389
label216,0.425,0.424,0.416,0.435,0.42,-0.149,0.427,0.463
label217,0.448,0.455,0.519,0.377,0.485,-0.105,0.425,0.438
label218,0.477,0.481,0.565,0.39,0.519,-0.046,0.506,0.528
label219,0.513,0.512,0.545,0.481,0.528,0.026,0.506,0.481
label220,0.503,0.505,0.364,0.643,0.423,0.007,0.488,0.511
label221,0.474,0.466,0.351,0.597,0.4,-0.054,0.441,0.452
label222,0.464,0.47,0.565,0.364,0.513,-0.073,0.459,0.448
label223,0.516,0.513,0.623,0.409,0.563,0.033,0.529,0.518
label224,0.494,0.494,0.519,0.468,0.506,-0.013,0.479,0.492
label225,0.5,0.5,0.351,0.649,0.412,0,0.468,0.501
label226,0.545,0.617,0.24,0.851,0.346,0.115,0.541,0.587
label227,0.536,0.53,0.63,0.442,0.576,0.073,0.523,0.508
label228,0.396,0.402,0.429,0.364,0.415,-0.208,0.368,0.428
label229,0.484,0.483,0.455,0.513,0.468,-0.033,0.509,0.519
