name,score,pred_label
RP13-1032I1.7,0.9999999924186119,1
CTD-2017C7.2,1.0,1
AC156455.1,1.0,1
RP11-495P10.2,0.9999999999999816,1
RP11-264B17.3,1.0,1
KB-318B8.7,1.0,1
RGS5,1.0,1
MATR3,1.0,1
RP11-99J16__A.2,0.9999999999998794,1
CTD-2647L4.4,1.0,1
RP11-529K1.2,1.0,1
RP11-141M1.3,1.0,1
RP11-516C1.1,1.0,1
TTTY14,1.0,1
KDM4A-AS1,1.0,1
RP11-203J24.9,0.9999999999999998,1
RP11-696N14.1,1.0,1
KB-1047C11.2,1.0,1
RP11-673E1.4,1.0,1
ARAP1-AS1,0.9999946798310778,1
RP1-257A7.4,1.0,1
RP11-290D2.6,1.0,1
AC007038.7,1.0,1
CTD-2542L18.1,0.9999999999921569,1
AC017002.1,1.0,1
CECR7,1.0,1
NONHSAG044533,0.9999999999900118,1
RP11-6N17.9,0.00014535354919764206,0
RP11-94P11.4,0.9999999999999998,1
AC131097.3,1.0,1
AC012358.8,1.4681115421993308e-12,0
CTC-503J8.6,0.9999999999972613,1
HNF1A-AS1,1.0,1
RP11-193F5.1,1.0,1
SATB2-AS1,1.0,1
CTD-2213F21.2,1.0,1
CTC-458I2.2,0.9966487163676253,1
RP11-511B23.2,1.0,1
RP11-434I12.2,1.0,1
SLX1A,1.0,1
NYX,1.0,1
RP11-387D10.2,1.0,1
NONHSAG035896,1.0,1
CTD-2231E14.8,1.0,1
CFLAR-AS1,0.9999992926632962,1
CTD-2235H24.2,1.0,1
PDE3A,0.5599912410461091,1
RP11-360L9.4,4.8869883406308255e-21,0
RP11-329J18.2,0.6588031545991735,1
ST7-AS2,1.0,1
XXbac-BPG181M17.6,1.1179939081936115e-10,0
C1RL-AS1,1.0,1
CTD-2525I3.3,5.38033108426558e-15,0
RP11-499P20.2,1.3033967607006294e-06,0
AC099850.1,4.679671649224434e-06,0
SUZ12P,1.0,1
NONHSAG049232,1.0,1
RP11-1113L8.1,1.0,1
ZFHX4-AS1,0.9999999951742629,1
AC093620.5,0.9999999338415434,1
AC007679.3,1.0,1
CTD-2619J13.8,1.0,1
RP11-384J4.2,1.0,1
RP11-68I3.2,0.9999999999999283,1
SNORD87,1.0,1
LOC100506548,1.0,1
AP006216.12,0.9999999999978828,1
AC023115.1,1.0,1
UBXN8,1.0,1
STT3A-AS1,1.0,1
RP11-981P6.1,1.0,1
RP11-481C4.1,0.0007353881342949352,0
LINC00910,1.0,1
AP000705.7,1.0,1
CTD-2127H9.1,0.9999999999463753,1
RP11-545I5.3,1.0,1
CTC-479C5.17,0.011948467090213603,0
AP003419.16,0.9999999999999987,1
CTBP1-AS2,1.0,1
RP11-197P3.4,8.220177866855065e-05,0
CTC-436P18.1,1.0,1
RP11-525K10.3,0.9999999999835225,1
AC010761.9,1.0,1
RP11-142G7.2,0.9999999999832916,1
CTB-58E17.3,1.0,1
Y_RNA,1.0,1
LINC00476,1.0,1
RP11-473M20.7,1.0,1
ASMTL-AS1,0.9999999838790019,1
RP11-359B12.2,9.893834419833463e-19,0
VPS9D1-AS1,0.9999995578256741,1
RP5-964N17.1,0.9999999999995415,1
RP11-103C16.2,1.0,1
AL139819.1,6.46305485559389e-08,0
CTD-2034I4.1,1.0,1
CTD-2515A14.1,0.0009790319712125203,0
RP11-252A24.7,1.0,1
LINC00641,1.0,1
RP11-158I13.2,1.0,1
SPTY2D1-AS1,0.011430253787504887,0
AP006621.9,0.07006116614747551,0
NONHSAG043431,1.0,1
NONHSAG013401,1.0,1
RP11-196G18.22,1.0,1
RP11-57H12.3,0.9999999999999987,1
LINC00355,1.0,1
AC002539.1,0.9999999999999962,1
RP11-473O4.5,0.9994027707123714,1
CTD-2525I3.6,1.0,1
AC079807.2,1.0,1
RP11-328K4.1,1.0,1
AGAP1-IT1,0.9999999999999998,1
RP11-973N13.4,0.00011938437835597034,0
RP11-785H5.2,0.9999913147590671,1
RP11-420N3.2,1.0,1
RP11-77K12.8,1.0,1
NUCB1-AS1,0.9999999976437697,1
PITRM1-AS1,1.0,1
SNORD64,1.0,1
RP11-473I1.5,1.0,1
PSMD6-AS2,0.9994738666408036,1
RP11-804A23.4,1.0,1
CTB-179K24.4,1.0,1
AC009784.3,1.0,1
RP11-72M17.1,0.9999999999982774,1
RP11-178L8.9,0.9999999999999962,1
RP13-216E22.5,1.0,1
RP11-304L19.1,1.0,1
RP11-513G19.1,1.0,1
CTD-2541M15.1,1.0,1
SRP14-AS1,1.0,1
AC012314.8,1.0,1
RP4-669H2.1,1.0,1
AC129929.5,1.0,1
RP11-29G8.3,1.0,1
RP11-334E6.3,1.0,1
CTC-232P5.1,1.0,1
RP11-638I2.4,1.0,1
AC008781.7,0.03765963892176954,0
ASB16-AS1,1.0,1
RP11-118B18.1,0.9999999999999827,1
RP11-69E11.4,1.0,1
RP3-460G2.2,1.0,1
SNORD91A,1.0,1
MIR600HG,1.0,1
AC098826.5,2.0228232356715212e-22,0
RP11-96D1.11,0.9999999948204843,1
RP4-604K5.1,0.9999999999999987,1
AC093388.3,0.9995673288122257,1
RP11-118M9.3,1.0,1
ASH1L-AS1,1.0,1
RP11-541P9.3,1.0,1
RP11-216N14.8,6.074513657971234e-05,0
FAM13A-AS1,1.0,1
RP5-1120P11.1,1.0,1
RP11-165E7.1,1.0,1
RP11-25K21.6,0.9999999999999942,1
CTC-429P9.1,3.185159476521383e-11,0
RP11-137L10.6,1.0,1
